level=0  	child=0  	antibiosis    	/	barometer     	/	bughunter     	/	chromaticity  
level=1  	child=0  	acquiescence  	/	afar          	/	alleviant     	/	anaplasty     
level=2  	child=0  	abettor       	/	absolve       	/	accessable    	/	acetabuliform 
level=3  	child=0  	abacus        	/	abask         	/	abbreviator   	/	abductor      
level=4  	child=0  	aaronic       	/	abacist       	/	aback         	/	abactinal     
level=4  	child=1  	abandonment   	/	abas          	/	abase         	/	abasement     
level=4  	child=2  	abatement     	/	abaxial       	/	abaya         	/	abba          
level=4  	child=3  	abd           	/	abdiel        	/	abdomen       	/	abdominal     
level=4  	child=4  	abel          	/	abernethy     	/	aberrant      	/	aberration    
level=3  	child=1  	ablactation   	/	abnegation    	/	abrim         	/	absinth       
level=4  	child=0  	abiogenesis   	/	abiological   	/	abiosis       	/	ablactate     
level=4  	child=1  	ablate        	/	ablatival     	/	ablution      	/	abnegate      
level=4  	child=2  	abolisher     	/	aborning      	/	abortus       	/	abrasion      
level=4  	child=3  	abscessed     	/	abscissa      	/	absentation   	/	absentmindedly
level=4  	child=4  	absinthin     	/	absinthine    	/	absolutization	/	absolvable    
level=3  	child=2  	absquatulation	/	absurdism     	/	academical    	/	accelerated   
level=4  	child=0  	absolvent     	/	absord        	/	absorption    	/	absquatulater 
level=4  	child=1  	abstention    	/	abstentious   	/	abstersion    	/	abstraction   
level=4  	child=2  	abundantly    	/	abuttals      	/	abutting      	/	abyss         
level=4  	child=3  	academicals   	/	acalycine     	/	acantha       	/	accelerant    
level=4  	child=4  	acceleration  	/	accelerometer 	/	acceptability 	/	acceptation   
level=3  	child=3  	accompanist   	/	accordionist  	/	accumbent     	/	accustom      
level=4  	child=0  	accessibly    	/	accidence     	/	acclivous     	/	accommodator  
level=4  	child=1  	accomplishment	/	accordable    	/	accordant     	/	according     
level=4  	child=2  	accostable    	/	accouche      	/	accountantship	/	accretion     
level=4  	child=3  	accusant      	/	accused       	/	accuser       	/	accusingly    
level=4  	child=4  	accutron      	/	aceraceous    	/	acescent      	/	acestoma      
level=3  	child=4  	achromatopsia 	/	acidimeter    	/	acknowledged  	/	acoumeter     
level=4  	child=0  	acetanilide   	/	achromate     	/	achromatophil 	/	achromatophilia
